TAG,DIR,BUILD_ID,ADD_BUG,DEL_BUG,FILES_CHANGED_BUG,ADD_FIX,DEL_FIX,FILES_CHANGED_FIX
ProjectKorra-ProjectKorra-241908997,ProjectKorra/ProjectKorra,241908996,1743,832,8,611,1315,20
ProjectKorra-ProjectKorra-80564294,ProjectKorra/ProjectKorra,80564293,109,178,1,72,40,1
rinde-RinSim-73175857,rinde/RinSim,73175854,197,7,7,1,1,1
rinde-RinSim-76296598,rinde/RinSim,76296597,28,19,1,3,2,1
square-okio-53590049,square/okio,53590047,756,140,17,2,2,1
square-okio-65096594,square/okio,65096593,7,7,2,82,9,2
joyent-java-manta-170634779,joyent/java-manta,170634777,137,106,4,1,1,1
joyent-java-manta-98228167,joyent/java-manta,98228165,76,8,4,1,0,1
junkdog-artemis-odb-71816517,junkdog/artemis-odb,71816514,91,0,2,19,11,1
Whiley-WhileyCompiler-74141580,Whiley/WhileyCompiler,74141579,24,14,3,10,16,3
junkdog-artemis-odb-80146605,junkdog/artemis-odb,80146604,6,0,1,1,0,1
yamcs-yamcs-108219382,yamcs/yamcs,108219381,51,26,4,9,5,1
yamcs-yamcs-163038984,yamcs/yamcs,163038983,178,125,19,30,0,1
yamcs-yamcs-186324159,yamcs/yamcs,186324158,645,639,13,1,0,1
HubSpot-Singularity-85747664,HubSpot/Singularity,85747656,10,10,1,5,5,1
HubTurbo-HubTurbo-65187013,HubTurbo/HubTurbo,65187012,4,4,1,2,2,1
SonarSource-sonar-java-76410855,SonarSource/sonar-java,76410854,25,28,5,211,0,8
HubSpot-Baragon-87667749,HubSpot/Baragon,87667746,5,5,1,4,4,1
HubSpot-Baragon-80236757,HubSpot/Baragon,80236756,5,5,1,4,4,1
HubSpot-Baragon-80236779,HubSpot/Baragon,80236777,5,5,1,4,4,1
HubSpot-Baragon-84971314,HubSpot/Baragon,84971306,4,4,1,4,4,1
joyent-java-manta-112738582,joyent/java-manta,112738580,37,1,1,0,2,1
joyent-java-manta-137650449,joyent/java-manta,137650448,73,2,3,2,2,1
joyent-java-manta-170634775,joyent/java-manta,170634774,137,106,4,1,1,1
joyent-java-manta-168746196,joyent/java-manta,168746195,856,675,6,3,2,2
joyent-java-manta-98029384,joyent/java-manta,98029383,23,34,1,0,2,1
junkdog-artemis-odb-72035852,junkdog/artemis-odb,72035851,37,37,3,0,2,1
checkstyle-checkstyle-212813555,checkstyle/checkstyle,212813552,105,92,8,106,92,8
checkstyle-checkstyle-221478418,checkstyle/checkstyle,221478415,620,96,4,2,1,1
joyent-java-manta-100388443,joyent/java-manta,100388442,30,3,3,2,2,1
HubSpot-Baragon-84497580,HubSpot/Baragon,84497577,16,9,1,2,0,1
checkstyle-checkstyle-77722324,checkstyle/checkstyle,77722322,163,4,4,1,1,1
checkstyle-checkstyle-271270767,checkstyle/checkstyle,271270764,9,7,5,1,1,1
HubSpot-Baragon-84298324,HubSpot/Baragon,84298320,4,4,1,4,4,1
HubSpot-Baragon-83756077,HubSpot/Baragon,83756074,12,8,1,1,1,1
HubSpot-Baragon-84497609,HubSpot/Baragon,84497606,4,4,1,4,4,1
HubSpot-Baragon-85171213,HubSpot/Baragon,85171210,5,5,1,4,4,1
HubSpot-Baragon-84497571,HubSpot/Baragon,84497570,152,30,22,2,0,1
HubSpot-Baragon-84298249,HubSpot/Baragon,84298246,4,4,1,4,4,1
HubSpot-Baragon-84504604,HubSpot/Baragon,84504598,4,4,1,4,4,1
HubSpot-Baragon-87667743,HubSpot/Baragon,87667741,4,4,1,4,4,1
HubSpot-Baragon-89452894,HubSpot/Baragon,89452888,4,4,1,4,4,1
HubSpot-Baragon-83755117,HubSpot/Baragon,83755115,14,5,3,1,1,1
HubSpot-Baragon-89452911,HubSpot/Baragon,89452909,4,4,1,4,4,1
checkstyle-checkstyle-99504214,checkstyle/checkstyle,99504210,0,2,1,0,2,1
HubSpot-Baragon-198112051,HubSpot/Baragon,198112050,1,1,1,1,1,1
HubSpot-Baragon-198094354,HubSpot/Baragon,198094353,325,66,10,94,29,3
HubSpot-Baragon-88403496,HubSpot/Baragon,88403495,4,4,1,4,4,1
HubSpot-Baragon-80236729,HubSpot/Baragon,80236726,116,9,7,6,2,1
Azure-azure-sdk-for-java-134840154,Azure/azure-sdk-for-java,134840153,10,6,1,296,91,14
Nukkit-Nukkit-190118606,Nukkit/Nukkit,190118605,5,0,1,1,0,1
Nukkit-Nukkit-97460836,Nukkit/Nukkit,97460835,796,18,12,21,9,2
Nukkit-Nukkit-99256102,Nukkit/Nukkit,99256101,109,7,4,6,108,3
puniverse-quasar-46751323,puniverse/quasar,46751321,182,18,4,1,1,1
GoClipse-goclipse-136259688,GoClipse/goclipse,136259687,3,3,2,3,2,2
puniverse-quasar-111273215,puniverse/quasar,111273213,13,6,2,11,6,1
GoClipse-goclipse-105744418,GoClipse/goclipse,105744417,98,81,5,4,9,1
raphw-byte-buddy-103907057,raphw/byte-buddy,103907054,101,100,11,7,0,1
raphw-byte-buddy-123161188,raphw/byte-buddy,123161187,12,1,2,6,0,1
raphw-byte-buddy-107351165,raphw/byte-buddy,107351164,85,1,3,5,0,1
raphw-byte-buddy-145495031,raphw/byte-buddy,145495027,70,17,2,3,0,1
raphw-byte-buddy-135907593,raphw/byte-buddy,135907592,274,2,5,3,0,1
raphw-byte-buddy-134720981,raphw/byte-buddy,134720974,8,1,2,5,0,1
raphw-byte-buddy-123483604,raphw/byte-buddy,123483603,70,0,1,1,1,1
raphw-byte-buddy-135544151,raphw/byte-buddy,135544148,3,15,1,1,0,1
raphw-byte-buddy-139776637,raphw/byte-buddy,139776631,204,12,9,1,0,1
raphw-byte-buddy-150449078,raphw/byte-buddy,150449076,17,28,4,3,1,1
raphw-byte-buddy-158690692,raphw/byte-buddy,158690688,5,0,1,5,0,1
raphw-byte-buddy-159529700,raphw/byte-buddy,159529696,159,19,11,1,1,1
raphw-byte-buddy-161025492,raphw/byte-buddy,161025486,1095,968,6,3,0,1
raphw-byte-buddy-171322761,raphw/byte-buddy,171322756,4,0,1,5,9,5
raphw-byte-buddy-189446900,raphw/byte-buddy,189446899,32,2,2,0,1,1
raphw-byte-buddy-190547987,raphw/byte-buddy,190547985,208,42,3,5,0,2
raphw-byte-buddy-191266516,raphw/byte-buddy,191266512,47,0,2,0,1,1
raphw-byte-buddy-192203420,raphw/byte-buddy,192203419,7,7,1,2,2,1
sannies-mp4parser-110354895,sannies/mp4parser,110354894,31,31,3,1,1,1
raphw-byte-buddy-234970609,raphw/byte-buddy,234970606,85,73,18,19,9,4
raphw-byte-buddy-86826620,raphw/byte-buddy,86826618,178,106,3,35,17,1
raphw-byte-buddy-225708657,raphw/byte-buddy,225708654,2,2,1,4,0,2
raphw-byte-buddy-249690521,raphw/byte-buddy,249690518,51,25,4,5,4,2
tananaev-traccar-185122214,traccar/traccar,185122213,6,8,2,0,1,1
tananaev-traccar-191125671,traccar/traccar,191125670,17,3,2,2,2,1
raphw-byte-buddy-93995511,raphw/byte-buddy,93995507,205,32,3,2,0,1
raphw-byte-buddy-166754508,raphw/byte-buddy,166754507,51,4,3,37,26,1
raphw-byte-buddy-186457600,raphw/byte-buddy,186457595,301,0,2,1,1,1
raphw-byte-buddy-186880603,raphw/byte-buddy,186880598,249,6,4,2,2,1
square-wire-68744453,square/wire,68744451,2,3,1,1,1,1
square-wire-68917321,square/wire,68917320,1,1,1,569,159,17
raphw-byte-buddy-103352747,raphw/byte-buddy,103352746,63,6,6,1,1,1
raphw-byte-buddy-104092320,raphw/byte-buddy,104092319,27,7,10,2,0,1
raphw-byte-buddy-103287003,raphw/byte-buddy,103287000,1,9,2,14,5,2
Flipkart-foxtrot-97843463,Flipkart/foxtrot,97843462,172,47,20,24,3,3
petergeneric-stdlib-151852759,petergeneric/stdlib,151852758,18,7,2,173,143,13
petergeneric-stdlib-160218990,petergeneric/stdlib,160218989,81,20,3,1,2,1
petergeneric-stdlib-153529639,petergeneric/stdlib,153529638,34,34,23,115,4,2
petergeneric-stdlib-203910184,petergeneric/stdlib,203910182,26,0,1,1,1,1
vkostyukov-la4j-44960460,vkostyukov/la4j,44960459,0,1493,12,23,19,5
vkostyukov-la4j-45524421,vkostyukov/la4j,45524418,351,29,13,10,0,2
UniversalMediaServer-UniversalMediaServer-231375527,UniversalMediaServer/UniversalMediaServer,231375525,2,0,1,11,0,1
UniversalMediaServer-UniversalMediaServer-231698145,UniversalMediaServer/UniversalMediaServer,231698144,2,0,1,11,0,1
square-okhttp-88514420,square/okhttp,88514417,8,25,3,76,13,3
openmicroscopy-bioformats-251797108,ome/bioformats,251797105,128,56,3,128,56,3
pgjdbc-pgjdbc-392704645,pgjdbc/pgjdbc,392704630,35,0,3,35,0,3
pgjdbc-pgjdbc-117659967,pgjdbc/pgjdbc,117659954,35,0,3,167,17,9
puniverse-capsule-78565048,puniverse/capsule,78565046,5,0,1,4,3,1
pgjdbc-pgjdbc-343084227,pgjdbc/pgjdbc,343084213,69,4,3,69,4,3
mybatis-mybatis-3-117115624,mybatis/mybatis-3,117115622,5,4,4,1,1,1
pgjdbc-pgjdbc-377265039,pgjdbc/pgjdbc,377265032,3061,857,29,3067,857,29
square-retrofit-305087203,square/retrofit,305087202,89,0,5,76,23,3
stagemonitor-stagemonitor-216487250,stagemonitor/stagemonitor,216487249,744,1,21,765,1,21
uwescience-myria-122377299,uwescience/myria,122377296,0,4,1,5,1,1
NitorCreations-nflow-197273837,NitorCreations/nflow,197273836,120,88,17,21,20,4
openpnp-openpnp-130246850,openpnp/openpnp,130246849,12,6,1,6,1,1
openpnp-openpnp-110833060,openpnp/openpnp,110833059,300,124,3,1,1,1
spring-projects-spring-data-jpa-94336959,spring-projects/spring-data-jpa,94336955,1,1,1,108,53,4
square-okhttp-45708948,square/okhttp,45708947,4,7,3,8,25,3
square-okhttp-45708945,square/okhttp,45708944,4,7,3,8,25,3
square-okhttp-72502550,square/okhttp,72502547,8,25,3,201,355,16
square-okhttp-95014919,square/okhttp,95014918,4,7,3,59,8,2
square-okhttp-95963081,square/okhttp,95963079,8,25,3,63,27,7
square-okhttp-95014922,square/okhttp,95014921,8,25,3,59,8,2
square-okhttp-99758865,square/okhttp,99758864,1,1,1,8,25,3
square-okhttp-99758869,square/okhttp,99758867,8,25,3,8,25,3
orbit-orbit-361637862,orbit/orbit,361637861,246,66,11,247,67,11
petergeneric-stdlib-292030904,petergeneric/stdlib,292030903,72,1,1,2,1,1
Adobe-Consulting-Services-acs-aem-commons-374231979,Adobe-Consulting-Services/acs-aem-commons,374231977,1,1,1,4,4,2
SonarSource-sonar-java-399461954,SonarSource/sonar-java,399461953,19,19,19,65,33,2
apache-commons-lang-372881624,apache/commons-lang,372881621,369,16,2,4,4,1
languagetool-org-languagetool-393031702,languagetool-org/languagetool,393031701,56,18,7,1,1,1
raphw-byte-buddy-363671490,raphw/byte-buddy,363671488,7,10,1,7,10,1
square-okhttp-400993798,square/okhttp,400993797,493,760,42,667,618,20
swagger-api-swagger-core-361105210,swagger-api/swagger-core,361105208,2,2,1,7,8,1
SonarSource-sonar-java-295864289,SonarSource/sonar-java,295864287,4,0,1,4,0,1
square-okhttp-423182415,square/okhttp,423182414,71,3,2,71,3,2
square-okhttp-400993850,square/okhttp,400993849,78,53,4,667,618,20
joel-costigliola-assertj-core-322788384,joel-costigliola/assertj-core,322788383,1,1,1,1,1,1
joel-costigliola-assertj-core-309871149,joel-costigliola/assertj-core,309871148,47,20,4,14,13,7
thm-projects-arsnova-backend-349234146,thm-projects/arsnova-backend,349234144,40,11,4,40,11,4
square-okhttp-449822599,square/okhttp,449822598,468,0,4,469,0,4
Adobe-Consulting-Services-acs-aem-commons-439308122,Adobe-Consulting-Services/acs-aem-commons,439308120,5,5,2,11,6,5
square-okhttp-400957197,square/okhttp,400957195,29,1,2,1,1,1
square-okhttp-397194600,square/okhttp,397194599,28,0,2,1,0,1
apache-jackrabbit-oak-337535542,apache/jackrabbit-oak,337535538,1,1,1,1,1,1
SonarSource-sonar-xml-463768849,SonarSource/sonar-xml,463768848,19,0,2,7,16,1
apache-jackrabbit-oak-293747830,apache/jackrabbit-oak,293747822,13,1,1,6,6,1
languagetool-org-languagetool-546883807,languagetool-org/languagetool,546883806,96,16,3,3,1,1
graphhopper-graphhopper-221837923,graphhopper/graphhopper,221837922,12,14,1,12,14,1
apache-dubbo-416671624,apache/dubbo,416671622,12,4,1,16,6,2
IQSS-dataverse-402758963,IQSS/dataverse,402758962,919,7,10,929,8,10
HubSpot-Singularity-436705257,HubSpot/Singularity,436705256,28,15,2,28,15,2
HubSpot-Singularity-436706910,HubSpot/Singularity,436706909,28,15,2,1,1,1
alibaba-fastjson-618981324,alibaba/fastjson,618981322,1,1,1,8,8,2
